202599
image_id x_1 y_1 width height
119614.jpg   985 1140 1149 1591
099095.jpg   538 455 1004 1390
200122.jpg   552 406 1820 2327
081060.jpg  1704 454 941 1303
202041.jpg   305 536 1430 1980
000615.jpg   711 587 1186 1642
050916.jpg  1084 683 1693 2344
166546.jpg   373 540 1331 1843
143862.jpg   278 298 1433 1984
101742.jpg   523 394 1084 1501
157746.jpg   224 189 1191 1649
078316.jpg   589 705 1544 2398
167420.jpg   350 373 1448 2005
167707.jpg   253 311 1599 2214
055526.jpg  1027 745 1019 1411
089616.jpg   369 372 1443 1998
034959.jpg   179  81 1880 2603
174482.jpg   220  92 1305 1807
154922.jpg   324 762 1329 1840
163132.jpg   714 310 1419 2236
057380.jpg  2209 1555 2010 2783
097644.jpg   134 589 2478 3431
082112.jpg  1916 293 1495 2070
117315.jpg   266 642 1175 1627
134267.jpg   333 261 754 1044
116487.jpg   908 394 1409 1951
190261.jpg   525 443 1001 1386
005990.jpg   401 657 1875 2596
105832.jpg   710 629 1149 1591
167425.jpg   456 534 1498 2074
132980.jpg   310 519 1305 1807
109161.jpg   148 400 1654 2290
146917.jpg   669 803 1102 1526
131360.jpg   639 607 1394 1930
146932.jpg   229 581 1724 2387
130537.jpg   465 387 1560 2160
005000.jpg   290 659 1544 2138
035668.jpg  1624 525 1105 1530
031876.jpg   777 714 1456 2016
140963.jpg   393 513 1248 1728
172346.jpg  1048 540 1609 2228
063836.jpg   906 620 1334 1847
096001.jpg   224 334 1898 2628
050940.jpg   287 405 967 1339
192206.jpg   860 828 1113 1541
122644.jpg   196  39 694 961
019681.jpg  1117 556 1108 1534
019871.jpg   158 190 913 1043
092500.jpg   439 165 1430 1980
153965.jpg   780 216 1121 1552
061395.jpg   396 167 1630 2257
048169.jpg   840 815 1737 2405
156163.jpg  1164 177 980 1357
088898.jpg   297 433 1599 2214
119530.jpg   778 485 1264 1750
162642.jpg   416 446 1466 2030
029588.jpg   489 732 1170 1620
162999.jpg   151 229 988 1368
026604.jpg   668 770 1292 1789
199432.jpg  1460 857 965 1336
169007.jpg    94  70 1160 1606
019014.jpg   124  46 920 1151
089915.jpg  2000 256 1724 2387
155234.jpg   681 437 1518 2102
155468.jpg   910 1009 1045 1447
085807.jpg   409 415 1217 1685
018839.jpg   561 724 1149 1591
044088.jpg   472 433 1264 1750
132316.jpg   120 500 1617 2239
093692.jpg   159 366 837 1159
046155.jpg  1264 551 1269 1757
031549.jpg   655 370 946 1310
120822.jpg   987 529 1100 1523
091901.jpg  1391 565 991 1372
048160.jpg   422 737 920 1274
144880.jpg   284 586 1664 2304
154707.jpg   759 424 1331 1843
069107.jpg   150 439 1983 2759
179711.jpg   538 493 952 1318
088863.jpg   644 143 944 1307
079378.jpg    27 171 980 1357
152071.jpg   623 866 1201 1663
142269.jpg   374 407 1076 1490
030583.jpg   208 472 1342 1858
183527.jpg   510   1 1825 1916
026021.jpg   771 842 1105 1530
007847.jpg   486 538 1235 1710
076040.jpg   281 371 728 1008
061279.jpg   508 476 1313 1818
177226.jpg   446 457 1108 1534
157645.jpg   198 550 1264 1750
137680.jpg   881 421 1001 1386
162202.jpg   262 385 1152 1571
184214.jpg   232 373 1321 1829
043065.jpg   343 517 1063 1472
135024.jpg   795 677 1157 1602
062702.jpg   836 874 1511 2092
097516.jpg   450 454 1139 1577
063482.jpg   453 723 1466 2030
167331.jpg   652 591 967 1339
129785.jpg   863 472 1128 1509
171850.jpg   783 484 1139 1577
118126.jpg   287 167 1123 1555
157442.jpg   520 361 1331 1843
